index,date,open,high,low,close,adj close,volume,closeusd
N225,2016-08-30,16690.98047,16752.16016,16677.84961,16725.35938,16725.35938,1.037E8,167.25359380000003
N225,2016-09-08,16984.0,17001.83984,16836.65039,16958.76953,16958.76953,1.113E8,169.5876953
N225,2016-11-04,16964.5,16996.08984,16801.98047,16905.35938,16905.35938,1.348E8,169.05359380000002
N225,2016-11-24,18329.7793,18382.7207,18310.31055,18333.41016,18333.41016,1.494E8,183.3341016
N225,2017-01-24,18817.41992,18915.69922,18783.16016,18787.99023,18787.99023,1.315E8,187.8799023
N225,2017-02-07,18844.11914,18970.58008,18805.32031,18910.7793,18910.7793,1.061E8,189.107793
N225,2017-04-20,18446.39063,18523.40039,18420.82031,18430.49023,18430.49023,1.169E8,184.3049023
N225,2017-04-26,19184.91992,19289.42969,19170.85938,19289.42969,19289.42969,1.294E8,192.8942969
N225,2017-05-22,19670.48047,19722.92969,19618.73047,19678.2793,19678.2793,7.85E7,196.782793
N225,2017-09-01,19733.57031,19735.96094,19620.07031,19691.4707,19691.4707,7.94E7,196.91470700000002
N225,2017-10-24,21670.0,21805.16992,21646.51953,21805.16992,21805.16992,8.82E7,218.0516992
N225,2017-12-28,22912.05078,22954.44922,22736.42969,22783.98047,22783.98047,5.03E7,227.8398047
N225,2018-01-23,23924.40039,24129.33984,23916.01953,24124.15039,24124.15039,7.34E7,241.2415039
N225,2018-02-13,21633.33984,21679.19922,21211.5293,21244.67969,21244.67969,1.147E8,212.4467969
N225,2018-02-28,22292.5293,22380.2793,22068.24023,22068.24023,22068.24023,8.88E7,220.6824023
N225,2018-05-16,22730.11914,22796.14063,22695.83984,22717.23047,22717.23047,8.02E7,227.17230469999998
N225,2018-05-17,22820.61914,22887.0293,22799.16016,22838.36914,22838.36914,7.56E7,228.3836914
N225,2018-07-04,21679.0,21784.0,21604.17969,21717.03906,21717.03906,6.22E7,217.1703906
N225,2018-09-28,24080.00977,24286.09961,24021.26953,24120.03906,24120.03906,9.07E7,241.2003906
N225,2018-11-02,21761.58008,22308.41992,21751.33008,22243.66016,22243.66016,1.019E8,222.4366016
N225,2019-03-13,21425.76953,21474.16992,21198.99023,21290.24023,21290.24023,6.62E7,212.9024023
N225,2019-03-18,21576.35938,21612.66992,21500.32031,21584.5,21584.5,5.52E7,215.845
N225,2019-06-12,21130.39063,21259.69922,21118.75,21129.7207,21129.7207,5.65E7,211.29720700000001
N225,2019-07-25,21715.94922,21823.07031,21715.68945,21756.55078,21756.55078,4.69E7,217.5655078
N225,2019-08-08,20529.28906,20682.24023,20462.98047,20593.34961,20593.34961,6.48E7,205.9334961
N225,2019-10-10,21456.26953,21601.46094,21308.88086,21551.98047,21551.98047,5.99E7,215.51980469999998
N225,2019-12-05,23292.69922,23363.43945,23259.82031,23300.08984,23300.08984,6.14E7,233.0008984
N225,2020-01-28,23126.92969,23243.35938,23115.15039,23215.71094,23215.71094,6.44E7,232.15710940000002
N225,2020-03-26,19234.76953,19240.28906,18512.81055,18664.59961,18664.59961,1.281E8,186.64599610000002
N225,2020-04-08,19047.75977,19454.33984,18730.80078,19353.24023,19353.24023,1.059E8,193.5324023
N225,2020-04-09,19376.0,19406.96094,19158.55078,19345.76953,19345.76953,8.23E7,193.4576953
N225,2020-04-10,19500.07031,19500.07031,19235.96094,19498.5,19498.5,8.75E7,194.985
N225,2020-05-15,20149.78906,20198.25,19832.88086,20037.4707,20037.4707,7.52E7,200.37470700000003
N225,2020-07-07,22649.90039,22742.2793,22540.43945,22614.68945,22614.68945,6.27E7,226.14689450000003
N225,2020-08-13,23123.35938,23316.68945,23111.5,23249.60938,23249.60938,8.48E7,232.4960938
N225,2020-12-17,26744.5,26843.05078,26676.2793,26806.66992,26806.66992,6.15E7,268.0666992
N225,2021-02-22,30281.7793,30458.13086,30089.17969,30156.0293,30156.0293,6.28E7,301.560293
N225,2021-02-25,30077.26953,30213.2793,30044.42969,30168.26953,30168.26953,7.01E7,301.68269530000003
N225,2021-06-03,28890.39063,29157.16016,28879.15039,29058.10938,29058.10938,0.0,290.5810938
N100,2016-01-27,857.159973,863.72998,851.179993,863.72998,863.72998,2.342536E8,1053.7505755999998
N100,2016-02-01,875.130005,875.469971,862.380005,870.409973,870.409973,2.267375E8,1061.90016706
N100,2016-04-11,847.299988,855.919983,842.119995,851.150024,851.150024,2.025803E8,1038.40302928
N100,2016-05-03,870.570007,870.830017,856.580017,859.309998,859.309998,2.253243E8,1048.35819756
N100,2016-07-20,864.640015,870.5,860.77002,867.929993,867.929993,1.77171E8,1058.87459146
